title,reviews,price,variant_price,stars,img_link,availability
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Gold (Renewed)",273 ratings,$183.00,$188.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91xk0o++tdL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
"Mid 2017 Apple 10.5 inches iPad Pro (256GB, Wi-Fi + 4G LTE, Space Gray) (Renewed)",198 ratings,$318.97,$289.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/514CNHVs7NL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 8 left in stock - order soon.
Apple iPad Pro 12.9in (5th Gen.) - 256GB - WiFi - Space Gray (Renewed Premium),10 ratings,$848.74,,3.2 out of 5 stars,https://m.media-amazon.com/images/I/81nmWyBkKhL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro (32GB, Wi-Fi + Cellular, Gray) 9.7in Tablet (Renewed)",277 ratings,$188.99,$188.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/6121xYVkJlL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"UGREEN USB C Charger 65W Nexode 3 Ports GaN Fast Charger Block, Compact Foldable Wall Charger Compatible with MacBook Pro/Air, Dell XPS, iPhone 14, iPad Pro, Galaxy S23, Pixel 7, Steam Deck (Black)","2,977 ratings",,,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61Vi-xax+RL._AC_SY300_SX300_.jpg,Currently unavailable
"2018 Apple iPad (9.7-inch, Wi-Fi, 128GB) - Space Gray (Renewed Premium)",6 ratings,$238.76,,5.0 out of 5 stars,https://m.media-amazon.com/images/I/81qK4+EC+cL._AC_SY300_SX300_.jpg,Only 3 left in stock - order soon.
Apple iPad Pro 12.9in (5th Gen.) - 128GB - WiFi - Silver (Renewed Premium),6 ratings,$849.00,,4.1 out of 5 stars,https://m.media-amazon.com/images/I/815KnP2wjDS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"Apple 2021 12.9-inch iPad Pro (Wi‑Fi, 2TB) - Silver","6,057 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/815KnP2wjDS.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 16 left in stock - order soon
"Apple iPad Pro Tablet (128GB, LTE, 9.7in) Rose Gold (Renewed)",132 ratings,$344.00,$219.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61bPIWUuIEL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gray (Renewed)","2,284 ratings",$234.00,$234.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51uJ9-J4JhL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro Tablet (256GB, Wi-Fi, 9.7in) Gray (Renewed)",267 ratings,$279.00,$279.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61rmZTQxuBL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Tablet 10.1 inch Android 12 Tablet 2023 Latest Update Octa-Core Processor with 64GB Storage, Dual 13MP+5MP Camera, WiFi, Bluetooth, GPS, 512GB Expand Support, IPS Full HD Display (Black)","2,110 ratings",,,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Mt4JAZQtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"Fintie SlimShell Case for iPad Pro 11-inch (4th / 3rd Generation) 2022/2021 - Soft Flexible TPU Stand Back Cover with Pencil Holder, Also Fit iPad Pro 11"" 2nd / 1st Gen, Composition Book","2,565 ratings",,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81-xJANbY7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"Apple iPad Air 2, 64 GB, Space Gray (Renewed)","4,958 ratings",$169.00,$149.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71AfLgrG19L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 14 left in stock - order soon.
"Xiaomi Pad 6 WiFi Version 11 inches 144Hz 8840mAh Bluetooth 5.2 Four Speakers Dolby Atmos 13 Mp Camera + Fast Car 51W Charger Bundle (Gravity Gray, 256GB + 8GB)",8 ratings,,,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51lPQ-hC4kL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon
iPad Pro 11in (3nd Gen.) - 256GB - WiFi - Space Gray (Renewed Premium),6 ratings,$748.78,,3.5 out of 5 stars,https://m.media-amazon.com/images/I/81rBUAM2NpL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon.
"Apple iPad Pro Tablet(256GB, LTE, 9.7in) Space Gray (Renewed)",139 ratings,$279.99,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61V4AyIbnzL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 5 left in stock - order soon.
"Apple iPad (10.2-Inch, Wi-Fi, 128GB) - Space Gray (Renewed)","6,361 ratings",$265.00,$242.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61m8rRc8RfL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 3 left in stock - order soon.
iPad Pro 11in (3nd Gen.) - 2TB - WiFi - Silver (Renewed Premium),,$929.00,,Previous page,https://m.media-amazon.com/images/I/81MF389-9gS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
